concurrency,architecture,target,median_qps,median_avg_ms,median_p95_ms,passed,failed
1,monolith,dashboard-teacher,59.72,16.74,24.43,300,0
1,monolith,homework-course,55.56,17.99,32.03,300,0
1,monolith,lab-sets-course,64.73,15.44,24.31,300,0
1,microservices,dashboard-teacher,31.16,32.08,41.49,300,0
1,microservices,homework-course,33.55,29.8,41.62,300,0
1,microservices,lab-sets-course,36.09,27.7,37.24,300,0
5,monolith,dashboard-teacher,274.62,16.92,34.4,300,0
5,monolith,homework-course,237.25,19.97,44.28,300,0
5,monolith,lab-sets-course,312.63,15.35,32.73,300,0
5,microservices,dashboard-teacher,121.29,40.15,64.33,300,0
5,microservices,homework-course,113.69,43.48,67.64,300,0
5,microservices,lab-sets-course,174.11,28.16,43.8,300,0
10,monolith,dashboard-teacher,315.17,31.03,55.48,300,0
10,monolith,homework-course,275.35,32.05,61.01,300,0
10,monolith,lab-sets-course,394.73,24.39,52.15,300,0
10,microservices,dashboard-teacher,130.25,73.15,141.89,300,0
10,microservices,homework-course,125.61,77.28,109.68,300,0
10,microservices,lab-sets-course,247.59,38.83,62.48,300,0
20,monolith,dashboard-teacher,299.56,65.8,89.99,300,0
20,monolith,homework-course,289.09,67.32,98.72,300,0
20,monolith,lab-sets-course,341.18,56.61,84.4,300,0
20,microservices,dashboard-teacher,121.73,157.67,258.59,300,0
20,microservices,homework-course,124.99,153.67,214.37,300,0
20,microservices,lab-sets-course,295.19,60.14,95.6,300,0
50,monolith,dashboard-teacher,347.54,129.25,183.11,300,0
50,monolith,homework-course,334.59,139.51,191.17,300,0
50,monolith,lab-sets-course,345.14,133.94,191.03,300,0
50,microservices,dashboard-teacher,107.05,408.94,548.92,300,0
50,microservices,homework-course,138.67,323.08,386.38,300,0
50,microservices,lab-sets-course,238.88,185.64,225.12,300,0
